lat,lon,elevation
43.115,77.03,3079.0
43.065,77.028,2976.0
43.11,76.924,1579.0
43.156,77.036,1700.0
43.163,77.029,1674.0
43.194,76.943,1130.0
43.191,76.901,1001.0
43.093,76.986,2578.0
43.152,76.944,1416.0
43.17,76.811,1006.0
43.054,77.074,3669.0
43.189,76.95,1124.0
43.087,76.954,2094.0
43.064,76.987,2382.0
43.171,76.921,1118.0
43.143,76.923,1612.0
43.078,77.074,3246.0
43.125,76.912,1363.0
43.107,76.999,2867.0
43.095,76.971,2496.0
43.147,77.046,2074.0
43.14,77.014,2387.0
43.124,77.068,2555.0
43.154,76.888,1180.0
43.144,76.918,1516.0
43.13,76.958,1797.0
43.177,76.98,1399.0
43.194,76.823,891.0
43.073,77.013,2643.0
43.062,76.99,2545.0
43.175,76.929,1224.0
43.151,76.892,1181.0
43.115,77.073,2453.0
43.077,77.01,2466.0
43.08,76.961,2201.0
43.181,77.124,2420.0
43.164,76.975,1534.0
43.173,76.801,970.0
43.135,77.021,2523.0
43.157,76.871,1220.0
43.136,76.967,1842.0
43.095,77.078,2832.0
43.128,76.877,1686.0
43.171,76.8,981.0
43.152,76.919,1377.0
43.103,76.941,1656.0
43.119,76.919,1570.0
43.056,77.076,3706.0
43.034,77.071,4182.0
43.104,76.941,1735.0
43.123,77.045,2658.0
43.167,76.872,1093.0
43.195,76.943,1080.0
43.086,77.019,2951.0
43.136,76.917,1586.0
43.096,76.982,2820.0
43.176,76.977,1397.0
43.149,76.812,1274.0
43.136,76.875,1460.0
43.065,76.99,2393.0
43.147,76.906,1263.0
43.162,77.048,1593.0
43.14,76.988,2207.0
43.118,77.009,2535.0
43.051,76.964,2917.0
43.153,76.984,1696.0
43.052,76.981,2509.0
43.123,77.036,2913.0
43.091,77.046,3289.0
43.066,77.024,2943.0
43.102,76.952,1955.0
43.146,77.062,1832.0
43.121,77.089,2546.0
43.171,77.019,1354.0
43.191,76.811,873.0
43.08,77.034,3262.0
43.129,76.972,1898.0
43.114,76.908,1565.0
43.095,76.925,1963.0
43.193,76.865,975.0
43.126,76.996,2446.0
43.167,76.96,1350.0
43.084,76.964,2031.0
43.127,77.058,2313.0
43.099,76.986,3041.0
43.117,77.065,2738.0
43.097,77.056,3353.0
43.131,76.978,1950.0
43.171,76.842,1055.0
43.046,77.016,3299.0
43.137,77.022,2528.0
43.107,76.937,1959.0
43.141,76.931,1656.0
43.103,77.039,3156.0
43.05,76.994,2663.0
43.174,77.142,2726.0
43.079,77.078,3070.0
43.099,77.047,3180.0
43.199,76.86,945.0
43.119,77.043,2777.0
43.077,77.008,2430.0
43.091,76.962,1903.0
43.151,76.993,1958.0
43.09,77.041,3417.0
43.076,77.028,2923.0
43.19,76.959,1204.0
43.13,76.962,1880.0
43.147,76.838,1289.0
43.168,76.911,1129.0
43.107,77.065,2883.0
43.174,76.917,1091.0
43.161,76.878,1126.0
43.13,76.839,1509.0
43.12,77.081,2370.0
43.166,76.795,1020.0
43.188,76.865,998.0
43.125,77.018,2914.0
43.172,77.038,1483.0
43.155,77.025,1960.0
43.181,77.145,2540.0
43.119,77.099,2799.0
43.17,76.966,1374.0
43.047,77.053,3662.0
43.184,76.964,1287.0
43.146,76.905,1263.0
43.184,76.93,1067.0
43.187,76.88,1017.0
43.089,76.922,2310.0
43.181,77.127,2468.0
43.155,76.958,1561.0
43.124,76.902,1398.0
43.098,76.957,1924.0
43.124,76.975,1929.0
43.082,77.032,3344.0
43.152,77.044,1859.0
43.153,76.921,1476.0
43.185,76.825,926.0
43.056,77.008,2954.0
43.178,77.027,1591.0
43.165,76.936,1326.0
43.104,77.076,2648.0
43.057,77.021,3318.0
43.151,77.033,1868.0
43.128,76.888,1606.0
43.162,76.808,1072.0
43.194,76.951,1173.0
43.123,76.967,1952.0
43.176,76.901,1066.0
43.138,76.927,1812.0
43.177,76.864,1035.0
43.189,76.867,1000.0
43.183,76.832,944.0
43.059,77.036,3167.0
43.076,77.063,3586.0
43.17,76.907,1110.0
43.172,76.876,1075.0
43.059,76.974,2730.0
43.1,76.94,1637.0
43.179,76.961,1256.0
43.111,76.93,1862.0
43.094,77.029,3264.0
43.057,77.03,3062.0
43.196,76.858,951.0
43.125,76.926,1463.0
43.145,76.985,1872.0
43.169,76.887,1102.0
43.091,77.031,3286.0
43.172,77.119,2291.0
43.125,77.005,2693.0
43.118,76.908,1541.0
43.144,76.915,1492.0
43.125,76.964,1905.0
43.096,76.981,2766.0
43.144,76.926,1548.0
43.091,76.919,2235.0
43.151,76.917,1325.0
43.174,76.843,1041.0
43.177,77.068,1672.0
43.035,77.061,4029.0
43.102,76.966,2397.0
43.09,77.028,3316.0
43.152,77.033,1843.0
43.146,76.909,1294.0
43.159,76.862,1203.0
43.083,76.987,2316.0
43.193,77.005,1320.0
43.145,77.043,1893.0
43.17,77.098,2156.0
43.115,76.937,1938.0
43.071,77.045,3594.0
43.187,77.087,1927.0
43.198,77.053,1706.0
43.199,76.849,930.0
43.112,77.039,2880.0
43.153,76.899,1191.0
43.167,77.069,1859.0
43.07,77.015,2820.0
43.191,76.98,1174.0
43.061,77.027,2996.0
43.125,76.95,1789.0
43.144,76.867,1330.0
43.194,76.862,969.0
43.196,76.826,894.0
43.134,76.907,1279.0
43.154,77.043,1835.0
43.101,76.899,1646.0
43.161,76.837,1126.0
43.15,76.949,1420.0
43.176,76.85,1036.0
43.192,76.892,999.0
43.113,77.054,2798.0
43.193,77.136,2029.0
43.067,77.057,3769.0
43.189,77.066,1889.0
43.166,76.961,1356.0
43.154,76.809,1289.0
43.101,77.008,3103.0
43.182,77.131,2269.0
43.046,77.067,3902.0
43.172,76.826,1045.0
43.06,77.03,3050.0
43.171,76.998,1499.0
43.151,76.803,1191.0
43.187,77.043,1487.0
43.118,76.943,1777.0
43.146,76.888,1246.0
43.07,77.079,3351.0
43.134,76.848,1490.0
43.077,76.986,2107.0
43.156,77.048,1749.0
43.193,77.115,1952.0
43.189,76.949,1155.0
43.051,77.052,3813.0
43.152,77.047,2014.0
43.157,76.862,1201.0
43.195,77.131,1908.0
43.171,77.04,1509.0
43.126,77.085,2372.0
43.145,76.947,1503.0
43.196,76.963,1121.0
43.173,77.06,1816.0
43.186,77.062,1806.0
43.082,77.043,3626.0
43.089,77.023,3136.0
43.186,77.082,1811.0
43.181,76.982,1312.0
43.174,76.931,1236.0
43.046,77.007,3205.0
43.176,76.946,1232.0
43.136,76.969,1843.0
43.198,76.824,884.0
43.095,77.033,3260.0
43.194,76.821,889.0
43.126,76.989,2327.0
43.185,76.991,1289.0
43.198,76.805,847.0
43.199,77.059,1766.0
43.165,76.872,1114.0
43.14,76.94,1664.0
43.068,77.057,3738.0
43.12,76.939,1671.0
43.136,76.983,2138.0
43.193,76.917,1013.0
43.102,76.972,2647.0
43.171,77.111,2133.0
43.065,76.967,2781.0
43.133,76.89,1438.0
43.164,77.097,2348.0
43.194,77.127,1872.0
43.08,77.065,3460.0
43.185,76.81,894.0
43.188,76.97,1235.0
43.088,77.012,2680.0
43.051,77.066,4001.0
43.12,77.094,2708.0
43.175,76.821,974.0
43.098,77.063,3206.0
43.131,76.932,1704.0
43.149,76.861,1275.0
43.177,77.144,2660.0
43.182,77.06,1778.0
43.073,77.033,3018.0
43.112,76.983,2332.0
43.07,77.001,2481.0
43.087,77.005,2736.0
43.112,76.985,2381.0
43.199,76.825,886.0
43.172,77.007,1470.0
43.116,76.98,2241.0
43.104,76.958,2234.0
43.115,77.105,2998.0
43.139,77.038,2025.0
43.19,76.886,1003.0
43.14,77.059,2173.0
43.156,76.822,1175.0
43.151,77.006,1880.0
43.135,76.934,1835.0
43.048,77.046,3612.0
43.134,77.011,2450.0
43.17,77.092,1984.0
43.185,77.128,2298.0
43.158,76.956,1464.0
43.098,76.937,1840.0
43.179,77.063,1593.0
43.173,76.952,1248.0
43.15,76.825,1284.0
43.139,76.861,1397.0
43.186,76.828,925.0
43.063,77.045,3356.0
